,name,latitude,longitude,price,hostStart,propType
62,Upcountry Hospitality in the Saddle Room,20.02712,-155.702,115.00,2009-02-09,Bed and breakfast
63,Upcountry Hospitality in the Lehua Room,20.02683,-155.70009,68.00,2009-02-09,House
64,**Beautiful 2bdrm Makaha Condo w/views&Air Con,21.48132,-158.20231,125.00,2010-10-11,Condominium
65,"Haunani Cabin, in the Village, no added fees",19.42634,-155.23481,160.00,2010-10-18,House
66,Rainbows & Waterfalls~Walk to Beach,22.201620000000002,-159.50128999999998,750.00,2010-10-18,House
67,Upcountry Hospitality in the Lindsey Homestead,20.02658,-155.69977,125.00,2009-02-09,Bed and breakfast
68,"Oma's A-Frame, in the Village, no fees",19.42829,-155.23327,150.00,2010-10-18,House
69,The Maid's Quarters Cottage with Gardens and Gazebo Hot Tub,19.426470000000002,-155.23363,140.00,2010-10-18,Cottage
70,"Air Conditioned, Upscale & Quiet",21.2822,-157.75508,60.00,2010-11-07,Guest suite
71,Poipu Beach Oceanside Suite,21.88147,-159.47105,175.00,2009-03-19,Apartment
72,Private room in lush manoa valley with AC,21.31939,-157.80159,64.00,2010-03-05,House
73,Clean and simple getaway 2,21.31864,-157.80183,55.00,2010-03-05,House
74,Bali Hut Treehouse,19.46463,-154.9129,40.00,2010-12-26,Hut
75,Poipu Beach Guest House---Seashell,21.88007,-159.47117,150.00,2009-03-19,Apartment
76,Hawaii Beach North Shore Oahu,21.679129999999997,-158.03528,369.00,2010-12-27,House
77,"DISCOUNTED Waimea Bay, North Shore Cottage with AC",21.63959,-158.06243999999998,275.00,2010-03-14,Guesthouse
78,"Kehena Honey House, beach bungalow",19.39185,-154.93448999999998,112.00,2011-09-22,Cottage
79,Hale Honu,21.69869,-157.99603000000002,209.00,2013-12-01,Apartment
80,Paradise Getaway near Pahoa,19.5186,-154.99436,66.00,2011-01-18,House
81,LUXURY GOLFCOURSE HOME W/3 SUITES,22.218329999999998,-159.47686000000002,349.00,2011-01-27,House
82,Oceanview Surfrider 1 Bedroom Suite,20.72881,-156.45026000000001,151.00,2010-08-21,Condominium
83,"Heather's Ohana: Clean, comfortable, and cute!",19.40495,-154.92252,58.00,2011-03-08,Guesthouse
84,Surfers & Writers Paradise,21.593529999999998,-158.10661000000002,228.00,2011-03-14,Apartment
85,STAY OHIA Volcano Private cottage !,19.43521,-155.21459,119.00,2011-03-15,House
86,Enchanting Rainforest Hideaway on 2 Private Acres,19.53987,-155.00202,118.00,2011-03-19,Cottage
87,"Napili Gardens#4: AC, Beach steps away",20.994629999999997,-156.66437,325.00,2011-03-24,Townhouse
88,Kailua-Kona Ocean View Studio,19.63891,-155.97823,65.00,2011-03-24,Apartment
89,Maui is calling.  Just steps from the ocean.,20.95228,-156.68835,195.00,2011-03-29,Condominium
90,Garden Suite at Onomea,19.81675,-155.10273,90.00,2011-04-02,Guesthouse
91,Hawaiian Dream-Across From Beach,21.646810000000002,-158.06292,225.00,2010-12-27,House
92,It's on the beach!,21.589679999999998,-157.89074,95.00,2011-04-03,Apartment
93,Ocean View 1 bedroom Sunset Kahili condo in Poipu,21.87154,-159.44717,165.00,2011-04-04,Apartment
94,Kauai Princeville Ocean Villas-1BR,22.22126,-159.46913,400.00,2011-04-07,Resort
95,Maui Kaanapali Ocean Villas-1BR,20.937839999999998,-156.68988000000002,400.00,2011-04-07,Boutique hotel
96,Waikiki Gem at Century Center,21.29182,-157.83661999999998,85.00,2010-01-17,Apartment
97,"The ""Shangri La"" at Fairway Villa",21.2808,-157.82422,92.00,2010-01-17,Apartment
98,The Coconut Lanai in Seaview***,19.40457,-154.92219,72.00,2011-03-08,House
