"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-10-31,33155,"North Huntingdon Township","PA","Pittsburgh","Westmoreland County",1674,164800,-0.000606428138265616,0.00182370820668693,0.0306441525953721,0.0353840890102761,0.0249534330427217,"2019-09","2019-Q3",164900,-0.000606428138265616,"2019-08"
2019-10-31,9768,"Marshalltown","IA","Marshalltown","Marshall County",1675,106600,-0.00187265917602996,0.0181470869149952,0.0922131147540984,0.0424323069827426,0.0204081178263369,"2019-09","2019-Q3",106800,-0.00187265917602996,"2019-09"
2019-10-31,4324,"Deer Park","TX","Houston-The Woodlands-Sugar Land","Harris County",1676,201300,0.00199104031856645,0.00750750750750751,0.0462577962577963,0.0753334311589713,0.0415350695103625,"2019-10","2019-Q4",201300,0,"2019-10"
2019-10-31,46803,"North Olmsted","OH","Cleveland-Elyria","Cuyahoga County",1677,170800,0.00175953079178886,0.00529723366686286,0.0326481257557437,0.0597206629564115,0.0277509136413183,"2019-10","2019-Q4",170800,0,"2019-10"
2019-10-31,47440,"Rolla","MO","Rolla","Phelps County",1678,145900,-0.00883152173913043,-0.005453306066803,0.0428877769835597,0.0409028389282611,0.0163969676040892,"2019-08","2019-Q3",147700,-0.012186865267434,"2019-06"
2019-10-31,10835,"Town Of Clarence","NY","Buffalo-Cheektowaga-Niagara Falls","Erie County",1679,334900,-0.0068208778173191,0.000896592946802152,0.053475935828877,0.0511263615489186,0.0372575240018178,"2019-08","2019-Q3",337600,-0.00799763033175355,"2019-08"
2019-10-31,53581,"Niles","IL","Chicago-Naperville-Elgin","Cook County",1680,283200,0.00425531914893617,0.0110674759014638,0.0205405405405405,0.0318574210063602,0.0158038299821281,"2006-07","2006-Q3",388900,-0.271792234507585,"2003-03"
2019-10-31,38598,"Franklin Square","NY","New York-Newark-Jersey City","Nassau County",1681,529600,-0.00150829562594269,-0.00357478833490122,0.0325599532072529,0.0648594815063992,0.0378954650169279,"2019-06","2019-Q2",531800,-0.00413689356901091,"2019-05"
2019-10-31,395489,"Princeton","NJ","Trenton","Mercer County",1682,853700,-0.00916898792943361,-0.0303271240345298,-0.0388426030173384,0.0265409773381082,0.0157906050828054,"2019-02","2019-Q1",916700,-0.0687247736445947,"2016-12"
2019-10-31,54364,"Sedalia","MO","Sedalia","Pettis County",1683,95200,-0.0134715025906736,-0.0225872689938398,-0.0412890231621349,0.0491341555796432,0.0241358489682011,"2018-11","2018-Q4",99400,-0.0422535211267606,"2018-09"
2019-10-31,44411,"Camas","WA","Portland-Vancouver-Hillsboro","Clark County",1684,482000,0.00521376433785193,0.0130306851618327,0.0341128513194593,0.0780621757102209,0.0505359607187013,"2019-10","2019-Q4",482000,0,"2019-10"
2019-10-31,16269,"Waynesboro","VA","Staunton-Waynesboro","Waynesboro City",1685,185600,0.00650759219088937,0.0265486725663717,0.0575498575498576,0.0417123399505479,0.010495002189111,"2006-09","2006-Q3",188300,-0.0143388210302708,"2006-07"
2019-10-31,22489,"Midvale","UT","Salt Lake City","Salt Lake County",1686,336900,0.00148632580261593,0.05512057626057,0.110781404549951,0.101360012486292,0.0481535053352196,"2019-10","2019-Q4",336900,0,"2019-10"
2019-10-31,7518,"Ukiah","CA","Ukiah","Mendocino County",1687,330500,-0.014903129657228,-0.0406386066763425,-0.104821235102925,0.0586904954404086,0.0237327290992977,"2006-12","2006-Q4",380400,-0.13117770767613,"2005-01"
2019-10-31,52735,"Keizer","OR","Salem","Marion County",1688,303000,-0.001318391562294,0.00764881942135018,0.0531803962460897,0.102874625982076,0.0483856481659513,"2019-09","2019-Q3",303400,-0.001318391562294,"2019-09"
